type,category,title,link
classical_art,Abstract,Ohne Titel XI (1942) ,https://artvee.com/dl/ohne-titel-xi/
classical_art,Abstract,Archers (1935) ,https://artvee.com/dl/archers-4/
classical_art,Abstract,Landscape (1920) ,https://artvee.com/dl/landscape-93/
classical_art,Abstract,Der Blaue Reiter (1914) ,https://artvee.com/dl/der-blaue-reiter-3/
classical_art,Abstract,Venteværelset (1935) ,https://artvee.com/dl/ventevaerelset/
classical_art,Abstract,II. Weltkrieg (around 1940) ,https://artvee.com/dl/ii-weltkrieg/
classical_art,Abstract,Kvinner høster frukt (ca 1920) ,https://artvee.com/dl/kvinner-hoster-frukt/
classical_art,Abstract,"Mannenkop boven drie kragen, van voren gezien (1943-12-22) ",https://artvee.com/dl/mannenkop-boven-drie-kragen-van-voren-gezien/
classical_art,Abstract,Untitled,https://artvee.com/dl/untitled-38/
classical_art,Abstract,Drowned (1930) ,https://artvee.com/dl/drowned-2/
classical_art,Abstract,Ochsenfuhrwerk (1920) ,https://artvee.com/dl/ochsenfuhrwerk/
classical_art,Abstract,Geometric design for printed textile I (1800–1818) ,https://artvee.com/dl/geometric-design-for-printed-textile-i/
classical_art,Abstract,"Aus meinem Leben, 50 Blätter XXII (1923) ",https://artvee.com/dl/aus-meinem-leben-50-blatter-xxii/
classical_art,Abstract,Untitled 23,https://artvee.com/dl/untitled-23-2/
classical_art,Abstract,Philip Wofford 1964 (1964) ,https://artvee.com/dl/philip-wofford-1964/
classical_art,Abstract,Still Life,https://artvee.com/dl/still-life-60/
classical_art,Abstract,Untitled 13,https://artvee.com/dl/untitled-13-2/
classical_art,Abstract,"The Cats – Tsching, Batzar and Blanc-Blanc",https://artvee.com/dl/the-cats-tsching-batzar-and-blanc-blanc/
classical_art,Abstract,Vaccination (1919) ,https://artvee.com/dl/vaccination/
classical_art,Abstract,Juan Legua (1911) ,https://artvee.com/dl/juan-legua/
classical_art,Abstract,Winter Evening (1879-1880) ,https://artvee.com/dl/winter-evening-4/
classical_art,Abstract,"Indgangen til Cassis, også kaldet Kirketårnet i Cassis (1909) ",https://artvee.com/dl/indgangen-til-cassis-ogsa-kaldet-kirketarnet-i-cassis/
classical_art,Abstract,Butterfly,https://artvee.com/dl/butterfly/
classical_art,Abstract,Nature Morte Cubiste (1917) ,https://artvee.com/dl/nature-morte-cubiste/
classical_art,Abstract,Ohne Titel (around 1932) ,https://artvee.com/dl/ohne-titel-13/
classical_art,Abstract,Ohne Titel II (around 1940) ,https://artvee.com/dl/ohne-titel-ii-2/
classical_art,Abstract,Artists’ Ball; Harlequin and Dancers (1921) ,https://artvee.com/dl/artists-ball-harlequin-and-dancers/
classical_art,Abstract,Azaleabloem (1915) ,https://artvee.com/dl/azaleabloem/
